/*****************spider report ********************/
================= dispatcher:
connect_pool_size:100 connect_used_count:0

================= sites:
site0=>host:movie.douban.com;  dir:movie.douban.com;  hashsize:10000
unscraped_pages:0; scraping_pages:0; scraped_pages:0; parsed_pages:239
0=>  status:3;  httpStatus:200;  hashCode:47;  title:;  path:/;  parent:undefined
83=>  status:3;  httpStatus:200;  hashCode:1262;  title:;  path:/subject/1438926/;  parent:/subject/1302079/
84=>  status:3;  httpStatus:200;  hashCode:1199;  title:;  path:/people/54226262/;  parent:/subject/1905780/
85=>  status:3;  httpStatus:200;  hashCode:1634;  title:;  path:/people/Willtong/;  parent:/subject/1905780/
86=>  status:3;  httpStatus:200;  hashCode:1570;  title:;  path:/people/susanmy/;  parent:/subject/1905780/
87=>  status:3;  httpStatus:200;  hashCode:1935;  title:;  path:/photos/photo/1003798574/;  parent:/subject/1306607/
88=>  status:3;  httpStatus:200;  hashCode:1137;  title:;  path:/people/2422320/;  parent:/subject/1306607/
89=>  status:3;  httpStatus:200;  hashCode:1155;  title:;  path:/people/4454817/;  parent:/subject/1306607/
90=>  status:3;  httpStatus:200;  hashCode:1222;  title:;  path:/people/57953986/;  parent:/subject/1306607/
91=>  status:3;  httpStatus:200;  hashCode:1923;  title:;  path:/photos/photo/1645220822/;  parent:/subject/3530403/
92=>  status:3;  httpStatus:200;  hashCode:1954;  title:;  path:/photos/photo/1738946988/;  parent:/subject/3530403/
93=>  status:3;  httpStatus:200;  hashCode:1922;  title:;  path:/photos/photo/1820613532/;  parent:/subject/3530403/
94=>  status:3;  httpStatus:200;  hashCode:1271;  title:;  path:/subject/2999913/;  parent:/subject/3530403/
95=>  status:3;  httpStatus:200;  hashCode:1644;  title:;  path:/people/hanyiran/;  parent:/subject/3530403/
96=>  status:3;  httpStatus:200;  hashCode:1913;  title:;  path:/people/Iris_Shiver/;  parent:/subject/3530403/
97=>  status:3;  httpStatus:200;  hashCode:1885;  title:;  path:/photos/photo/608544438/;  parent:/subject/3136240/
98=>  status:3;  httpStatus:200;  hashCode:1192;  title:;  path:/people/15005083/;  parent:/subject/3530403/
99=>  status:3;  httpStatus:200;  hashCode:1311;  title:;  path:/subject/11502889/;  parent:/subject/3530403/
100=>  status:3;  httpStatus:200;  hashCode:1873;  title:;  path:/photos/photo/608543112/;  parent:/subject/3136240/
101=>  status:3;  httpStatus:200;  hashCode:1948;  title:;  path:/photos/photo/1692488298/;  parent:/subject/3136240/
102=>  status:3;  httpStatus:200;  hashCode:1214;  title:;  path:/people/35866952/;  parent:/subject/3136240/
103=>  status:3;  httpStatus:200;  hashCode:1437;  title:;  path:/people/evanlu/;  parent:/subject/3136240/
104=>  status:3;  httpStatus:200;  hashCode:1215;  title:;  path:/people/62769573/;  parent:/subject/3136240/
105=>  status:3;  httpStatus:200;  hashCode:2048;  title:;  path:/people/yangqinghe1101/;  parent:/subject/3136240/
106=>  status:3;  httpStatus:200;  hashCode:1206;  title:;  path:/people/37711674/;  parent:/subject/1958194/
107=>  status:3;  httpStatus:200;  hashCode:1188;  title:;  path:/people/XJZ123/;  parent:/subject/1958194/
108=>  status:3;  httpStatus:200;  hashCode:1869;  title:;  path:/people/racenroyes/;  parent:/subject/1958194/
109=>  status:3;  httpStatus:200;  hashCode:1924;  title:;  path:/photos/photo/1754111661/;  parent:/subject/2363876/
110=>  status:3;  httpStatus:200;  hashCode:1150;  title:;  path:/people/1663174/;  parent:/subject/1958194/
111=>  status:3;  httpStatus:200;  hashCode:1216;  title:;  path:/people/46982836/;  parent:/subject/2363876/
112=>  status:3;  httpStatus:200;  hashCode:1349;  title:;  path:/people/FredYY/;  parent:/subject/2363876/
113=>  status:3;  httpStatus:200;  hashCode:1658;  title:;  path:/people/Ivy-Stein/;  parent:/subject/2363876/
114=>  status:3;  httpStatus:200;  hashCode:1202;  title:;  path:/people/61960208/;  parent:/subject/2363876/
115=>  status:3;  httpStatus:200;  hashCode:1921;  title:;  path:/photos/photo/1712560242/;  parent:/subject/10537853/
116=>  status:3;  httpStatus:200;  hashCode:1920;  title:;  path:/photos/photo/1745630210/;  parent:/subject/10537853/
117=>  status:3;  httpStatus:200;  hashCode:1160;  title:;  path:/people/4437695/;  parent:/subject/10537853/
118=>  status:3;  httpStatus:200;  hashCode:1859;  title:;  path:/people/joymermaid/;  parent:/subject/10537853/
119=>  status:3;  httpStatus:200;  hashCode:1255;  title:;  path:/subject/2265740/;  parent:/subject/10537853/
120=>  status:3;  httpStatus:200;  hashCode:1909;  title:;  path:/photos/photo/1311012540/;  parent:/subject/5964718/
121=>  status:3;  httpStatus:200;  hashCode:1917;  title:;  path:/photos/photo/1311013079/;  parent:/subject/5964718/
122=>  status:3;  httpStatus:200;  hashCode:1919;  title:;  path:/photos/photo/1311012766/;  parent:/subject/5964718/
123=>  status:3;  httpStatus:200;  hashCode:1918;  title:;  path:/photos/photo/1311012666/;  parent:/subject/5964718/
124=>  status:3;  httpStatus:200;  hashCode:1246;  title:;  path:/subject/1303037/;  parent:/subject/10537853/
125=>  status:3;  httpStatus:200;  hashCode:1191;  title:;  path:/people/27410025/;  parent:/subject/5964718/
126=>  status:3;  httpStatus:200;  hashCode:1761;  title:;  path:/people/billwoods/;  parent:/subject/5964718/
127=>  status:3;  httpStatus:200;  hashCode:2060;  title:;  path:/people/lareinaqueen/;  parent:/subject/5964718/
128=>  status:3;  httpStatus:200;  hashCode:1158;  title:;  path:/people/3962097/;  parent:/subject/5964718/
129=>  status:3;  httpStatus:200;  hashCode:1936;  title:;  path:/photos/photo/1615664097/;  parent:/subject/1305345/
130=>  status:3;  httpStatus:200;  hashCode:1930;  title:;  path:/photos/photo/1270619409/;  parent:/subject/1305345/
131=>  status:3;  httpStatus:200;  hashCode:1219;  title:;  path:/people/27878089/;  parent:/subject/1305345/
132=>  status:3;  httpStatus:200;  hashCode:1580;  title:;  path:/people/wyjlazy/;  parent:/subject/1305345/
133=>  status:3;  httpStatus:200;  hashCode:1146;  title:;  path:/people/4412067/;  parent:/subject/6875420/
134=>  status:3;  httpStatus:200;  hashCode:1280;  title:;  path:/people/doy198/;  parent:/subject/6875420/
135=>  status:3;  httpStatus:200;  hashCode:1467;  title:;  path:/people/RonChan/;  parent:/subject/6875420/
136=>  status:3;  httpStatus:200;  hashCode:1535;  title:;  path:/people/kfcmoon/;  parent:/subject/6875420/
137=>  status:3;  httpStatus:200;  hashCode:1318;  title:;  path:/people/kenau/;  parent:/subject/6425116/
138=>  status:3;  httpStatus:200;  hashCode:1154;  title:;  path:/people/2741648/;  parent:/subject/6425116/
139=>  status:3;  httpStatus:200;  hashCode:1299;  title:;  path:/subject/10355332/;  parent:/subject/6425116/
140=>  status:3;  httpStatus:200;  hashCode:1399;  title:;  path:/people/xxoo520/;  parent:/subject/6425116/
141=>  status:3;  httpStatus:200;  hashCode:1267;  title:;  path:/subject/3813779/;  parent:/subject/6425116/
142=>  status:3;  httpStatus:200;  hashCode:1211;  title:;  path:/people/43129958/;  parent:/subject/3569911/
143=>  status:3;  httpStatus:200;  hashCode:1197;  title:;  path:/people/64515402/;  parent:/subject/3569911/
144=>  status:3;  httpStatus:200;  hashCode:1298;  title:;  path:/people/haijd/;  parent:/subject/3569911/
145=>  status:3;  httpStatus:200;  hashCode:1341;  title:;  path:/people/shuir/;  parent:/subject/3569911/
146=>  status:3;  httpStatus:200;  hashCode:1881;  title:;  path:/photos/photo/668020727/;  parent:/subject/3726986/
147=>  status:3;  httpStatus:200;  hashCode:1876;  title:;  path:/photos/photo/668020623/;  parent:/subject/3726986/
148=>  status:3;  httpStatus:200;  hashCode:1739;  title:;  path:/people/orangesee/;  parent:/subject/3726986/
149=>  status:3;  httpStatus:200;  hashCode:1764;  title:;  path:/people/suncastle/;  parent:/subject/3726986/
150=>  status:3;  httpStatus:200;  hashCode:1201;  title:;  path:/people/16073149/;  parent:/subject/3726986/
151=>  status:3;  httpStatus:200;  hashCode:1274;  title:;  path:/subject/6799194/;  parent:/subject/11523148/
152=>  status:3;  httpStatus:200;  hashCode:1307;  title:;  path:/subject/10528383/;  parent:/subject/11523148/
153=>  status:3;  httpStatus:200;  hashCode:1925;  title:;  path:/photos/photo/1583262016/;  parent:/subject/6768838/
154=>  status:3;  httpStatus:200;  hashCode:2184;  title:;  path:/people/pocketwalker91/;  parent:/subject/6768838/
155=>  status:3;  httpStatus:200;  hashCode:2015;  title:;  path:/people/yuzhoulaizi/;  parent:/subject/6768838/
156=>  status:3;  httpStatus:200;  hashCode:1305;  title:;  path:/subject/11532592/;  parent:/subject/11523148/
157=>  status:3;  httpStatus:200;  hashCode:1888;  title:;  path:/photos/photo/523768581/;  parent:/subject/4888853/
158=>  status:3;  httpStatus:200;  hashCode:1295;  title:;  path:/subject/10533600/;  parent:/subject/6768838/
159=>  status:3;  httpStatus:200;  hashCode:1407;  title:;  path:/people/ayumiH/;  parent:/subject/4888853/
160=>  status:3;  httpStatus:200;  hashCode:1347;  title:;  path:/people/shony/;  parent:/subject/4888853/
161=>  status:3;  httpStatus:200;  hashCode:1631;  title:;  path:/people/nickblue/;  parent:/subject/4888853/
162=>  status:3;  httpStatus:200;  hashCode:1244;  title:;  path:/subject/3011082/;  parent:/subject/4888853/
163=>  status:3;  httpStatus:200;  hashCode:1856;  title:;  path:/people/snakebryan/;  parent:/subject/4888853/
164=>  status:3;  httpStatus:200;  hashCode:1943;  title:;  path:/photos/photo/1814666938/;  parent:/subject/19962579/
165=>  status:3;  httpStatus:200;  hashCode:1962;  title:;  path:/people/wangdazhong/;  parent:/subject/19962579/
166=>  status:3;  httpStatus:200;  hashCode:1163;  title:;  path:/people/3909596/;  parent:/subject/19962579/
167=>  status:3;  httpStatus:200;  hashCode:1213;  title:;  path:/people/64298950/;  parent:/subject/10539139/
168=>  status:3;  httpStatus:200;  hashCode:1647;  title:;  path:/people/ybqjxdhc/;  parent:/subject/10539139/
169=>  status:3;  httpStatus:200;  hashCode:1946;  title:;  path:/photos/photo/1383536899/;  parent:/subject/10432937/
170=>  status:3;  httpStatus:200;  hashCode:1162;  title:;  path:/people/5957680/;  parent:/subject/10432937/
171=>  status:3;  httpStatus:200;  hashCode:1112;  title:;  path:/people/hpn/;  parent:/subject/10453730/
172=>  status:3;  httpStatus:200;  hashCode:1522;  title:;  path:/people/largefo/;  parent:/subject/10453730/
173=>  status:3;  httpStatus:200;  hashCode:1981;  title:;  path:/people/freshshrimp/;  parent:/subject/10453730/
174=>  status:3;  httpStatus:200;  hashCode:1915;  title:;  path:/photos/photo/1430241072/;  parent:/subject/1899630/
175=>  status:3;  httpStatus:200;  hashCode:1745;  title:;  path:/people/beckooney/;  parent:/subject/1899630/
176=>  status:3;  httpStatus:200;  hashCode:1156;  title:;  path:/people/2855275/;  parent:/subject/1899630/
177=>  status:3;  httpStatus:200;  hashCode:1243;  title:;  path:/subject/1305113/;  parent:/subject/1899630/
178=>  status:3;  httpStatus:200;  hashCode:1419;  title:;  path:/people/juna0911/;  parent:/subject/1899630/
179=>  status:3;  httpStatus:200;  hashCode:1650;  title:;  path:/people/chironex/;  parent:/subject/1291989/
180=>  status:3;  httpStatus:200;  hashCode:1656;  title:;  path:/people/axinlove/;  parent:/subject/1508411/
181=>  status:3;  httpStatus:200;  hashCode:1143;  title:;  path:/people/3327015/;  parent:/subject/1508411/
182=>  status:3;  httpStatus:200;  hashCode:1893;  title:;  path:/photos/photo/995800298/;  parent:/subject/1300282/
183=>  status:3;  httpStatus:200;  hashCode:1848;  title:;  path:/people/ET.papillon/;  parent:/subject/1508411/
184=>  status:3;  httpStatus:200;  hashCode:1890;  title:;  path:/photos/photo/845659721/;  parent:/subject/1300282/
185=>  status:3;  httpStatus:200;  hashCode:1847;  title:;  path:/people/cheyenne9436/;  parent:/subject/1300282/
186=>  status:3;  httpStatus:200;  hashCode:1655;  title:;  path:/people/taxiliya/;  parent:/subject/1508411/
187=>  status:3;  httpStatus:200;  hashCode:2180;  title:;  path:/people/qingfengxulai/;  parent:/subject/1300282/
188=>  status:3;  httpStatus:200;  hashCode:1896;  title:;  path:/photos/photo/949408955/;  parent:/subject/1300117/
189=>  status:3;  httpStatus:200;  hashCode:1887;  title:;  path:/photos/photo/969211448/;  parent:/subject/1300117/
190=>  status:3;  httpStatus:200;  hashCode:1883;  title:;  path:/photos/photo/524436646/;  parent:/subject/1300117/
191=>  status:3;  httpStatus:200;  hashCode:1640;  title:;  path:/people/yfheaven/;  parent:/subject/1300117/
192=>  status:3;  httpStatus:200;  hashCode:1609;  title:;  path:/people/iriSheen/;  parent:/subject/1300117/
193=>  status:3;  httpStatus:200;  hashCode:1338;  title:;  path:/people/titi68/;  parent:/subject/1886749/
194=>  status:3;  httpStatus:200;  hashCode:1637;  title:;  path:/people/landyqee/;  parent:/subject/1886749/
195=>  status:3;  httpStatus:200;  hashCode:1152;  title:;  path:/people/1480782/;  parent:/subject/1886749/
196=>  status:3;  httpStatus:200;  hashCode:1167;  title:;  path:/people/3698658/;  parent:/subject/1886749/
197=>  status:3;  httpStatus:200;  hashCode:1537;  title:;  path:/people/mingtao/;  parent:/subject/1886749/
198=>  status:3;  httpStatus:200;  hashCode:1148;  title:;  path:/people/2095820/;  parent:/subject/1886749/
199=>  status:3;  httpStatus:200;  hashCode:1582;  title:;  path:/people/xjssysh/;  parent:/subject/1438926/
200=>  status:3;  httpStatus:200;  hashCode:1141;  title:;  path:/people/1103554/;  parent:/subject/1438926/
201=>  status:3;  httpStatus:200;  hashCode:1844;  title:;  path:/people/damnfatass/;  parent:/subject/1886749/
202=>  status:3;  httpStatus:200;  hashCode:1578;  title:;  path:/people/sardine2/;  parent:/subject/1438926/
203=>  status:3;  httpStatus:200;  hashCode:1362;  title:;  path:/people/shywu/;  parent:/subject/1438926/
204=>  status:3;  httpStatus:200;  hashCode:1872;  title:;  path:/photos/photo/800267303/;  parent:/subject/2999913/
205=>  status:3;  httpStatus:200;  hashCode:1531;  title:;  path:/people/kahsone/;  parent:/subject/2999913/
206=>  status:3;  httpStatus:200;  hashCode:1203;  title:;  path:/people/10964607/;  parent:/subject/11502889/
207=>  status:3;  httpStatus:200;  hashCode:2153;  title:;  path:/people/eatbananamoku/;  parent:/subject/2999913/
208=>  status:3;  httpStatus:200;  hashCode:1762;  title:;  path:/people/risktaker/;  parent:/subject/11502889/
209=>  status:3;  httpStatus:200;  hashCode:1730;  title:;  path:/people/chengguan/;  parent:/subject/2265740/
210=>  status:3;  httpStatus:200;  hashCode:1898;  title:;  path:/photos/photo/968796091/;  parent:/subject/1303037/
211=>  status:3;  httpStatus:200;  hashCode:1882;  title:;  path:/photos/photo/897335301/;  parent:/subject/1303037/
212=>  status:3;  httpStatus:200;  hashCode:1757;  title:;  path:/people/cecilylmy/;  parent:/subject/2265740/
213=>  status:3;  httpStatus:200;  hashCode:1837;  title:;  path:/people/jaidoublel/;  parent:/subject/1303037/
214=>  status:3;  httpStatus:200;  hashCode:1550;  title:;  path:/people/yanzile/;  parent:/subject/10355332/
215=>  status:3;  httpStatus:200;  hashCode:1200;  title:;  path:/people/10643646/;  parent:/subject/10355332/
216=>  status:3;  httpStatus:200;  hashCode:1649;  title:;  path:/people/sun_rain/;  parent:/subject/3813779/
217=>  status:3;  httpStatus:200;  hashCode:1540;  title:;  path:/people/fongkit/;  parent:/subject/6799194/
218=>  status:3;  httpStatus:200;  hashCode:1240;  title:;  path:/subject/3402101/;  parent:/subject/10355332/
219=>  status:3;  httpStatus:200;  hashCode:1411;  title:;  path:/people/enbaby/;  parent:/subject/3813779/
220=>  status:3;  httpStatus:200;  hashCode:1218;  title:;  path:/people/46997751/;  parent:/subject/6799194/
221=>  status:3;  httpStatus:200;  hashCode:2413;  title:;  path:/people/wushihuaqinghua/;  parent:/subject/6799194/
222=>  status:3;  httpStatus:200;  hashCode:1947;  title:;  path:/photos/photo/1717599944/;  parent:/subject/11532592/
223=>  status:3;  httpStatus:200;  hashCode:1806;  title:;  path:/people/MR.LitterFu/;  parent:/subject/10528383/
224=>  status:3;  httpStatus:200;  hashCode:1161;  title:;  path:/people/1835877/;  parent:/subject/11532592/
225=>  status:3;  httpStatus:200;  hashCode:1585;  title:;  path:/people/suck-man/;  parent:/subject/11532592/
226=>  status:3;  httpStatus:200;  hashCode:1157;  title:;  path:/people/3194378/;  parent:/subject/11532592/
227=>  status:3;  httpStatus:200;  hashCode:1857;  title:;  path:/people/vanhelsing/;  parent:/subject/11532592/
228=>  status:3;  httpStatus:200;  hashCode:1281;  title:;  path:/subject/6885889/;  parent:/subject/11532592/
229=>  status:3;  httpStatus:200;  hashCode:1352;  title:;  path:/people/QianaL/;  parent:/subject/10533600/
230=>  status:3;  httpStatus:200;  hashCode:1723;  title:;  path:/people/difeijing/;  parent:/subject/10533600/
231=>  status:3;  httpStatus:200;  hashCode:1533;  title:;  path:/people/halomay/;  parent:/subject/3011082/
232=>  status:3;  httpStatus:200;  hashCode:1217;  title:;  path:/people/68082896/;  parent:/subject/3011082/
233=>  status:3;  httpStatus:200;  hashCode:1436;  title:;  path:/people/xdaooo/;  parent:/subject/1305113/
234=>  status:3;  httpStatus:200;  hashCode:1193;  title:;  path:/people/47045030/;  parent:/subject/3402101/
235=>  status:3;  httpStatus:200;  hashCode:1559;  title:;  path:/people/ruoyang/;  parent:/subject/3402101/
236=>  status:3;  httpStatus:200;  hashCode:1429;  title:;  path:/people/CCAMMILLA/;  parent:/subject/1305113/
237=>  status:3;  httpStatus:200;  hashCode:1186;  title:;  path:/people/52231120/;  parent:/subject/6885889/
238=>  status:3;  httpStatus:200;  hashCode:1551;  title:;  path:/people/summer-7/;  parent:/subject/6885889/

